Division,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
Albemarle County,VA Studies I,VA Studies II,US I,US II,Civics,World History I or World Geography,World History II,VA/US History,VA/US Government
Alexandria City,VA Studies,US Geography,US I,US II,Civics,World History I,World History II,VA/US History,VA/US Government
Alleghany County,VA Studies,Local Creation/Geo,US I,US II,Civics,World History I,World History II,VA/US History,VA/US Government
Arlington County,VA Studies,Ancient World,US I and II,Civics and Economics,World Geography,World History II,Electives Or Missing Requirements,VA/US History,VA/US Government
Augusta County,VA Studies,VA Studies,US I,US II,Civics,World Geography,World History II,VA/US History,VA/US Government
Botetourt County,VA Studies,Local Creation/Geo,US I,US II,Civics,World History I,World History II,VA/US History,VA/US Government
Bedford County,VA Studies,US I,US II,Civics,World Geography,World History I,World History II,VA/US History,VA/US Government
Campbell County,VA Studies,Local Creation/Geo,US I,US II,Civics,World History I,World History II,VA/US History,VA/US Government
Caroline County,VA Studies,Local Creation/Geo,US I,US II,Civics,World History I,World History II,VA/US History,VA/US Government
Charlottesville,Local VA Studies Intro,VA Studies,US I,US II,Civics,World Geography,World History II,VA/US History,VA/US Government
Chesapeake,VA Studies,VA Studies,Civics,US I,US II,World History I or World Geography,World History II,VA/US History,VA/US Government
Chesterfield County,VA Studies,World Studies,US I,USII,Civics,World History I,World History II,VA/US History,VA/US Government
Clarke County,VA Studies,Local Creation/Geo,US I,US II,Civics,World History II or World Geography,World History II,VA/US/IB HOA,IB World
Culpeper County,VA Studies,Local Creation/Geo,US I,US II,Civics,World History I,World History II,VA/US History,VA/US Government
Danville,VA Studies,US I,US II,Civics,World Geography,World History I,World History II,VA/US History,VA/US Government
Fairfax County,VA Studies,Ancient World,US I,US II,Civics,World History I or World History II,World History II,VA/US History,VA/US Government
Falls Church,VA Studies,US I,US II,Civics,World History I,World History II,Government,VA/US/IB HOA,IB World
Fauquier County,VA Studies,US I,US II,Civics,World Geography,World History I,World History II,VA/US History,VA/US Government
Franklin County,VA Studies,VA Studies,US I,US II,Civics,World History I,World History II,VA/US History,VA/US Government
Hanover County,VA Studies,Local Creation/Geo,US I,US II,Civics,World History I,World History II,VA/US History,VA/US Government
Henrico County,VA Studies,Local Creation/Geo,US I,US II,Civics,World History I,World History II,VA/US History,VA/US Government
Hopewell,VA Studies,US I,US I,US II,Civics,World History I,World History II,VA/US History,VA/US Government
Isle of Wight County,VA Studies,VA Studies,US I,US II,Civics,World History I,World History II,VA/US History,VA/US Government
Lexington City,VA Studies,US I,US II,Civics,World Geography,World History I,World History II,VA/US History,VA/US Government
Loudoun County,VA Studies,Local Creation/Geo,US I,US II,Civics,World History I,World History II,VA/US History,VA/US Government
Lynchburg,VA Studies,US I,US II,Civics, World History I,World History II,Electives Or Missing Requirements,VA/US History,VA/US Government
Manassas,VA Studies,US I,US II,Local World Geography,Civics,World History I,World History II,VA/US History,VA/US Government
Martinsville,VA Studies,VA Studies,US I,US II,Civics,VA/US History,World History I,World History II,VA/US Government
Montgomery County,VA Studies,Local Creation/Geo,US I,US II,Civics,World History I,World History II,VA/US History,VA/US Government
Norfolk,Local VA Studies Intro,VA Studies,US1 (gen) or US1/US2 combo (Hon),US2 (gen) or Civics (Hon),Civics or World Geography,World History I or World Geography,World History I or World History II,VA/US History,VA/US Government
Powhatan County,U.S. Geography (locally created course),VA Studies,U.S. I or Integrated U.S. I/Civics and Economics,U.S. II or Integrated U.S. II/Civics and Economics,Civics or World History I,World History II,World History II,VA/US History,VA/US Government
Prince William County,VA Studies,US Geography,US I,US II,Civics,World History I,World History II,VA/US History,VA/US Government
Richmond,VA Studies,Local Creation/Geo,US I,USII,Civics,World History I or World Geography,World History II,VA/US History,VA/US Government
Roanoke City,VA Studies,Local Creation/Geo,US I,US II,Civics,World History I,World History II,VA/US History,VA/US Government
Roanoke County,VA Studies,Global Studies,US I,US II,Civics,World History I or World Geography,World History II,VA/US History,VA/US Government
Rockbridge County,VA Studies I,US I,US II,Civics,World Geography,World History I,Electives Or Missing Requirements,VA/US History,VA/US Government
Rockingham County,VA Studies I,Local Creation/Geo,US I,US II,Civics,World Geography,World History II,VA/US History,VA/US Government
Salem,VA Studies,US I,US II,Civics,World Geography,World History II,World History I,VA/US History,VA/US Government
Shenandoah County,VA Studies,Local Creation/Geo,US I,US II,Civics,World History I,World History II or US/VA History,VA/US History,VA/US Government
Spotsylvania County,VA Studies,US I,US II,Civics,World History I,World Geography,World History II,VA/US History,VA/US Government
Stafford County,VA Studies,US I,US II,Civics,World Geography,World History I,World History II,VA/US History,VA/US Government
Suffolk,VA Studies,US I,US II,Civics,World Geography,World History I,World History II,VA/US History,VA/US Government
Virginia Beach,VA Studies I,VA Studies II,US I,US II,Civics,World History I or World Geography,World History II,VA/US History,VA/US Government
York County,VA Studies,Local Creation/Geo,US I,US II,Civics,World History I or World Geography,World History II,VA/US History,VA/US Government
